fclty_id|fclty_nm|tmp_lcls_10s_belo_male_co|tmp_lcls_10s_male_co|tmp_lcls_20s_male_co|tmp_lcls_30s_male_co|tmp_lcls_40s_male_co|tmp_lcls_50s_male_co|tmp_lcls_60s_above_male_co|tmp_lcls_10s_belo_female_co|tmp_lcls_10s_female_co|tmp_lcls_20s_female_co|tmp_lcls_30s_female_co|tmp_lcls_40s_female_co|tmp_lcls_50s_female_co|tmp_lcls_60s_above_female_co|lcls_all_total_co|tmp_otsd_10s_belo_male_co|tmp_otsd_10s_male_co|tmp_otsd_20s_male_co|tmp_otsd_30s_male_co|tmp_otsd_40s_male_co|tmp_otsd_50s_male_co|tmp_otsd_60s_above_male_co|tmp_otsd_10s_belo_female_co|tmp_otsd_10s_female_co|tmp_otsd_20s_female_co|tmp_otsd_30s_female_co|tmp_otsd_40s_female_co|tmp_otsd_50s_female_co|tmp_otsd_60s_above_female_co|otsd_all_total_co|tmp_frnr_all_total_co
SA12|바래길 작은미술관|40|57|35|57|67|103|136|23|14|37|81|103|82|124|959|77|105|196|311|413|236|242|25|147|95|354|329|285|439|3254|40
SA13|장생포고래로131 작은미술관|38|73|360|364|373|779|430|30|43|91|43|33|53|247|2957|25|75|171|180|525|743|1155|49|41|68|121|154|64|229|3600|53
SA15|작은미술관 보구곶|34|181|269|109|136|406|430|44|25|65|130|80|205|122|2236|34|32|192|482|258|304|275|40|32|86|51|46|56|38|1926|35
SA14|서동 작은미술관|66|263|863|723|1277|1862|3104|54|388|1218|886|1117|2409|3028|17258|34|121|1038|445|1815|775|2798|75|123|950|294|634|1244|2219|12565|25
SA16|아트터미널 작은미술관|41|35|26|118|122|874|220|40|41|50|25|29|125|146|1892|22|24|107|22|151|134|122|42|32|36|43|32|36|45|848|37
SA17|악양 작은미술관|32|53|22|73|107|104|476|22|25|31|62|151|169|479|1806|32|38|183|94|67|89|233|37|33|30|90|45|63|67|1101|30
SA2|노인과 둔장바다 작은미술관|20|40|25|34|38|95|221|40|30|36|53|30|40|98|800|55|71|22|157|181|121|106|45|39|41|113|54|98|39|1142|53
SA3|기억을 모으는 미술관 ART-TEA|137|195|186|111|380|457|524|71|71|252|155|217|424|170|3350|31|39|22|50|60|38|36|42|42|44|39|69|49|82|643|31
SA8|BRT 작은미술관|34|49|108|173|136|176|72|27|90|216|96|62|207|54|1500|34|43|46|44|235|12|38|25|33|82|45|46|58|102|843|19
SA4|정라항 그리go 작은미술관 4048|50|138|173|483|589|1107|842|56|49|178|121|378|362|269|4795|147|306|717|655|819|1224|969|32|120|730|349|602|885|1005|8560|48
SA5|정라항 그리go 작은미술관 5223|29|149|113|411|795|697|943|39|55|177|106|408|396|340|4658|145|332|744|845|916|1638|1023|35|140|661|310|586|933|982|9290|47
SA6|정라항 그리go 작은미술관 5219|40|129|148|360|736|1130|813|47|62|138|113|464|421|280|4881|132|318|667|769|998|1329|759|29|130|792|378|507|897|980|8685|54
SA7|정라항 그리go 작은미술관 1116|17|36|416|450|1248|1089|724|36|45|74|222|241|653|543|5794|20|49|161|381|605|793|612|57|200|245|165|268|196|636|4388|40
SA9|봉평콧등작은미술관|46|52|46|44|153|180|195|25|56|37|31|101|98|56|1120|50|29|89|60|61|126|103|32|23|45|33|52|123|86|912|37
