fclty_id|fclty_nm|area_addr|city_do_cd|ctprvn_nm|signgu_cd|signgu_nm|adstrd_cd|adstrd_nm|la|lo
AC204|여수시민회관|전라남도 여수시 좌수영로 69 (광무동 42-19) |36|전라남도|36020|여수시|3602055|광림동|34.746969|127.727903
AC205|영광예술의전당|전라남도 영광군 영광읍 천년로13길 2-34|36|전라남도|36440|영광군|3644011|영광읍|35.272337|126.508342
AC206|완도문화예술의전당|전라남도 완도군 완도읍 개포로159번길 55|36|전라남도|36460|완도군|3646011|완도읍|34.323813|126.74156599999999
AC207|장성문화예술회관|전라남도 장성군 장성읍 문화로 110|36|전라남도|36450|장성군|3645011|장성읍|35.302607|126.767155
AC208|장흥문화예술회관|전라남도 장흥군 장흥읍 읍성로 96|36|전라남도|36380|장흥군|3638011|장흥읍|34.675932|126.898955
AC209|진도향토문화회관|전라남도 진도군 진도읍 진도대로 7197|36|전라남도|36470|진도군|3647011|진도읍|34.47957|126.26918700000002
AC210|해남문화예술회관|전라남도 해남군 해남읍 군청길 4|36|전라남도|36400|해남군|3640011|해남읍|34.573554|126.59913799999998
AC211|완주군향토예술문화회관|전라북도 완주군 삼례읍 삼봉로 215|35|전라북도|35310|완주군|3531011|삼례읍|35.919967|127.093218
AC212|한벽문화관|전라북도 전주시 완산구 전주천동로 20|35|전라북도|35011|전주시 완산구|3501175|풍남동|35.812034000000004|127.158515
AC214|군산예술의전당|전라북도 군산시 백토로 203|35|전라북도|35020|군산시|3502069|수송동|35.961016|126.70631999999999
AC215|김제문화예술회관|전라북도 김제시 성산길 20|35|전라북도|35060|김제시|3506058|교월동|35.802640999999994|126.87700500000001
AC216|춘향문화예술회관|전라북도 남원시 양림길 43|35|전라북도|35050|남원시|3505054|노암동|35.402233|127.390056
AC217|부안예술회관|전라북도 부안군 부안읍 예술회관길11|35|전라북도|35380|부안군|3538011|부안읍|35.724342|126.725587
AC218|순창군 향토회관|전라북도 순창군 순창읍 장류로 407-11|35|전라북도|35360|순창군|3536011|순창읍|35.377472999999995|127.147345
AC219|완주문예회관|전라북도 완주군 용진면 지암로 61|35|전라북도|35310|완주군|3531013|용진읍|35.904722|127.162143
AC220|익산예술의전당|전라북도 익산시 동서로 490|35|전라북도|35030|익산시|3503072|어양동|35.951747999999995|126.98750600000001
AC221|장수한누리전당|전라북도 장수군 장수읍 한누리로 393|35|전라북도|35340|장수군|3534011|장수읍|35.641298|127.518253
AC222|덕진예술회관|전북 전주시 덕진구 권삼득로 407|35|전라북도|35012|전주시 덕진구|3501257|덕진동|35.847654999999996|127.11978
AC223|정읍시예술회관|전라북도 정읍시 시기4길 13|35|전라북도|35040|정읍시|3504054|시기동|35.553005999999996|126.861604
AC224|한국소리문화의전당|전라북도 전주시 덕진구 소리로 31(덕진동1가)|35|전라북도|35012|전주시 덕진구|3501257|덕진동|35.855409|127.138704
AC225|서귀포예술의전당|제주특별자치도 서귀포시 태평로 270|39|제주특별자치도|39020|서귀포시|3902054|천지동|33.24615|126.550933
AC226|제주아트센터|제주특별자치도 제주시 오남로 231|39|제주특별자치도|39010|제주시|3901064|오라동|33.475275|126.51538300000001
AC5|두산아트센터|서울특별시 종로구 종로33길 15 두산아트센터|11|서울특별시|11010|종로구|1101063|종로5·6가동|37.571818|127.00098500000001
AC6|마포아트센터|서울특별시 마포구 대흥로20길 28|11|서울특별시|11140|마포구|1114060|용강동|37.549863|126.945497
AC7|남산예술센터|서울특별시 중구 소파로 138 (예장동 8-19)|11|서울특별시|11020|중구|1102055|명동|37.559033|126.988468
AC8|반포심산아트홀|서울시 서초구 사평대로 55(반포동) 심산기념문화센터 1층|11|서울특별시|11220|서초구|1122056|반포본동|37.498891|126.990874
AC9|성동문화회관|서울특별시 성동구 왕십리로 281|11|서울특별시|11040|성동구|1104055|사근동|37.559259999999995|127.035991
AC10|미아리고개예술극장|서울특별시 성북구 아리랑로 12길 4 성북문화재단 3층|11|서울특별시|11080|성북구|1108083|동선동|37.599154|127.01476399999999
AC11|세종문화회관|서울특별시 종로구 세종대로 175 |11|서울특별시|11010|종로구|1101072|청운효자동|37.572251|126.97588200000001
AC12|영등포아트홀|서울특별시 영등포구 국회대로 596 |11|서울특별시|11190|영등포구|1119055|당산1동|37.525940999999996|126.90008200000001
AC13|은평문화예술회관|서울특별시 은평구 녹번로 16(녹번동)|11|서울특별시|11120|은평구|1112051|녹번동|37.603704|126.927897
AC14|정동극장|서울특별시 중구 정동길 43 (정동 8-11) |11|서울특별시|11020|중구|1102052|소공동|37.565936|126.972844
AC15|아이들극장|서울시 종로구 성균관로 91 올림픽기념생활관 신관|11|서울특별시|11010|종로구|1101073|혜화동|37.590534999999996|126.99918400000001
AC16|충무아트센터|서울특별시 중구 퇴계로 387|11|서울특별시|11020|중구|1102069|신당동|37.565951|127.01478300000001
AC17|강동아트센터|서울특별시 강동구 동남로 870 (상일동)|11|서울특별시|11250|강동구|1125052|강일동|37.551187|127.15736000000001
AC18|국립국악원|서울특별시 서초구 남부순환로 2364|11|서울특별시|11220|서초구|1122051|서초1동|37.477746|127.009203
AC20|노원문화예술회관|서울특별시 노원구 중계로 181|11|서울특별시|11110|노원구|1111060|중계본동|37.650239|127.08025900000001
AC21|서대문문화회관|서울특별시 서대문구 백련사길 39 |11|서울특별시|11130|서대문구|1113066|홍은1동|37.580651|126.93144299999999
AC23|우리금융아트홀|서울특별시 송파구 올림픽로 424 (방이동 88-2) 역도경기장 2층 공연사업팀|11|서울특별시|11240|송파구|1124057|방이1동|37.520352|127.115397
AC25|부평아트센터|인천광역시 부평구 아트센터로 166(십정동)|23|인천광역시|23060|부평구|2306053|부평3동|37.482226000000004|126.70488200000001
AC26|트라이보울|인천광역시 연수구 인천타워대로 250(송도동24-6)|23|인천광역시|23040|연수구|2304066|송도1동|37.393996|126.63511899999999
AC27|계양문화회관|인천광역시 계양 계양산로 35번길 11|23|인천광역시|23070|계양구|2307053|계산1동|37.537102000000004|126.73766299999998
AC28|남동소래아트홀|인천광역시 남동구 아암대로1437번길 32(논현동)|23|인천광역시|23050|남동구|2305072|논현1동|37.387427|126.72458200000001
AC30|인천서구문화회관|인천광역시 서구 서달로 190(가정동)|23|인천광역시|23080|서구|2308056|가정1동|37.515477000000004|126.67995400000001
