fclty_nm|tmp_lcls_10s_belo_male_co|tmp_lcls_10s_male_co|tmp_lcls_20s_male_co|tmp_lcls_30s_male_co|tmp_lcls_40s_male_co|tmp_lcls_50s_male_co|tmp_lcls_60s_above_male_co|tmp_lcls_10s_belo_female_co|tmp_lcls_10s_female_co|tmp_lcls_20s_female_co|tmp_lcls_30s_female_co|tmp_lcls_40s_female_co|tmp_lcls_50s_female_co|tmp_lcls_60s_above_female_co|lcls_all_total_co|tmp_otsd_10s_belo_male_co|tmp_otsd_10s_male_co|tmp_otsd_20s_male_co|tmp_otsd_30s_male_co|tmp_otsd_40s_male_co|tmp_otsd_50s_male_co|tmp_otsd_60s_above_male_co|tmp_otsd_10s_belo_female_co|tmp_otsd_10s_female_co|tmp_otsd_20s_female_co|tmp_otsd_30s_female_co|tmp_otsd_40s_female_co|tmp_otsd_50s_female_co|tmp_otsd_60s_above_female_co|otsd_all_total_co|tmp_frnr_all_total_co|area_addr|ctprvn_nm|url
서천공연예술연습공간|37|83|142|61|163|198|304|29|29|35|105|118|338|189|1831|30|27|72|29|51|201|37|29|36|24|54|37|49|38|714|38|충청남도 서천군 장항읍 성화로 26-2|충청남도|https://arko.or.kr/pspace/assets/images/content/facility/seocheon/practice_room01.png
부산공연예술연습공간|19|79|155|181|321|327|442|76|88|91|183|235|336|460|2993|21|26|26|35|104|50|70|38|28|24|58|74|95|39|688|27|부산광역시 남구 우암로 84-1|부산|https://arko.or.kr/pspace/assets/images/content/facility/busan/practice_room01.jpg
광주공연예술연습공간|50|171|175|490|507|418|307|52|146|297|296|567|248|237|3961|39|30|97|124|208|96|79|26|35|96|76|74|81|153|1214|28|광주광역시 광산구 소촌로85번길 14-9|광주|https://arko.or.kr/pspace/assets/images/content/facility/gwangju/large01.jpg
부천공연예술연습공간|104|433|1227|1597|1498|1300|1670|111|395|1005|1513|1211|1987|1585|15636|57|102|385|519|367|774|179|60|195|203|218|185|451|348|4043|41|경기도 부천시 부일로 365|경기도|https://arko.or.kr/pspace/assets/images/content/facility/bucheon/practice_room01.jpg
인천공연예술연습공간|242|764|1793|1992|1599|1878|1883|105|720|2174|1740|1646|1994|2359|20889|40|191|1289|1080|815|548|859|102|179|492|551|439|800|623|8008|26|인천광역시 미추홀구 도화동 620-24|인천|https://arko.or.kr/pspace/assets/images/content/facility/incheon/practice_room01.jpg
울산공연예술연습공간|77|1052|1384|1754|1415|1274|1743|185|949|1478|1749|2057|2248|2395|19760|35|213|753|293|468|388|417|83|323|270|266|593|464|383|4949|39|울산광역시 남구 거마로 134번길 20|울산|https://arko.or.kr/pspace/assets/images/content/facility/ulsan/large01.jpg
예술가의집|65|94|681|575|564|315|398|34|133|1161|644|418|226|267|5575|67|327|1390|1330|1000|471|415|27|502|2555|1092|811|343|494|10824|47|서울특별시 종로구 동숭길 3|서울|https://blog.naver.com/madeindo/220377536715
대구공연예술연습공간|32|38|108|120|184|221|410|31|32|112|69|126|344|174|2001|21|78|224|296|283|597|461|39|89|266|124|245|357|698|3778|43|대구광역시 남구 명덕로 42|대구|https://arko.or.kr/pspace/assets/images/content/facility/daegu/practice_room01.jpg
포항공연예술연습공간|44|274|853|602|793|807|1286|34|210|933|396|982|880|1810|9904|37|123|451|202|309|257|437|61|133|316|197|432|107|505|3567|30|경상북도 포항시 북구 중앙로 373|경상북도|https://arko.or.kr/pspace/assets/images/content/facility/pohang/practice_room01.jpg
원주공연예술연습공간|29|297|789|505|532|698|1205|115|492|842|548|559|1228|811|8650|47|30|86|52|76|115|193|42|56|127|164|180|130|134|1432|45|강원 원주시 명륜동 138|강원도|https://arko.or.kr/pspace/assets/images/content/facility/wonju/practice_room01.jpg
예울마루|80|383|280|310|395|532|652|9|218|370|476|566|809|425|5505|97|258|44|68|47|36|139|3|91|107|125|190|292|123|1620|0|전라남도 여수시 예울마루로 100 (시전동 1003)|전라남도|https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDEwMjVfMTMz%2FMDAxNjAzNjE3Njk1ODc5.qLenhqy_mIUOYMaifPfpQi4vjyQLSwGbVK17QR2Fdugg.zyPcsGIkQRnbYYazMgE19Vzn51ziyhNGc0FckP73-EUg.JPEG.kji206%2F_DSI0109.jpg&type=sc960_832
고흥문화회관|0|12|77|75|84|338|777|6|7|67|95|380|568|1106|3592|0|4|28|21|48|46|41|0|4|221|55|17|122|180|787|0|전남 고흥군 고흥읍 호형리 991|전라남도|https://lh3.googleusercontent.com/proxy/b8s1hefzd79MA1DfvsPf_n2UGdIU_Tyevvxberu-9S0FGg9o-8Wr4SgkT7RvEDraVZzbMSEJKhn_cPPpoMo0jZnwsj7HToXaPUaEY2M5_uKQ_BUFbRxVKBNS5pgnLLxrxJogYHXsMvhsw5dyAQVRgTjOGXu5JUfQaMO_3JI
영광예술의전당|0|122|19|80|190|105|148|81|91|22|159|353|348|565|2283|0|51|14|2|20|18|76|10|11|13|24|158|7|25|429|0|전라남도 영광군 영광읍 천년로13길 2-34|전라남도|https://www.google.com/url?sa=i&url=http%3A%2F%2Fwww.yeonggwang.go.kr%2Fsubpage%2F%3Fsite%3Dheadquarter%26mn%3D1181&psig=AOvVaw0FGcUygPUIy9nBJx1Hbu9a&ust=1604764452283000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCLC8us2j7uwCFQAAAAAdAAAAABAD
남도소리울림터|53|111|253|583|1037|537|459|32|138|182|427|778|311|272|5173|73|430|748|868|1573|880|412|92|124|626|283|380|693|375|7557|0|전남 무안군 삼향읍 남악로 222 남도소리울림터|전라남도|https://lh3.googleusercontent.com/proxy/X9x-p32bZEzz5-eoPIywwzzZ-zkD-upDcysi7PM0CS_tZ5vGz9v23kiIyFKIYzFbzD7HX1adfWyz5M8RNhoN_Tz6PWd0riIjSweM56cQ0diWpbo_aXv_pA
강진군아트홀|115|1478|979|1461|2530|2690|4106|361|906|621|1280|1770|1846|2301|22444|91|262|1014|756|1179|1012|1091|47|94|625|482|784|711|793|8941|0|전라남도 강진군 강진읍 영랑로1길 9|전라남도|https://www.culture.go.kr/ticket/uploaded/company/TA000441/company.jpg
곡성레저문화센터|130|634|931|868|1514|1642|2067|162|608|466|844|1519|1603|1941|14929|4|147|701|435|408|778|1133|103|230|517|175|383|378|931|6323|0|전라남도 곡성군 곡성읍 곡성로855|전라남도|https://search.pstatic.net/common/?src=http%3A%2F%2Fcafefiles.naver.net%2F20150427_240%2Fmang1968_1430116822502zW0sw_JPEG%2F20150425_100408.jpg&type=sc960_832
광양문화예술회관|14|604|279|247|290|657|1058|10|148|595|253|356|832|421|5764|0|31|202|135|144|145|21|0|3|297|130|13|78|11|1210|0|전라남도 광양시 광양읍 향교길 9-30|전라남도|https://search.pstatic.net/common/?src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5239%2F2020%2F05%2F15%2F532836_image_1_20200515171852694.jpg&type=sc960_832
구례문화예술회관|2|340|451|762|1442|1385|1812|129|327|446|237|828|1317|1887|11365|8|168|400|868|401|909|565|8|123|339|303|180|430|519|5221|0|전라남도 구례군 구례읍 양정2길 11|전라남도|https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzAzMDVfMjMw%2FMDAxNDg4NjUwMTAzMTU4.ym1l8COR4r7ayX5BbdpXxHG0fGaRKgsmM6xN1hSx400g.9aWuY7xpOLtgXdN5VZELi_0s8rjRRPsMMJClBQtPOGUg.JPEG.yshbsh%2F20170304_175011.jpg&type=sc960_832
나주문화예술회관|162|677|1042|1323|2794|1622|1320|348|1034|931|1406|2149|1638|2191|18637|2|257|399|596|885|829|447|69|282|435|251|579|182|147|5360|0|전라남도 나주시 예향로 4137|전라남도|https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNjExMDlfNjAg%2FMDAxNDc4NjE3ODM5MjMw.XVt2bNoEHDG9OJxOaqF_eWfGPaOgXrkhb8S1QyBOe_Ag.PwM3753Uk4X-k2zwJUfBaxMMoD0G3oFHfJEOloQ4a64g.JPEG.lyj177%2F%25B3%25AA%25C1%25D6%25B9%25AE%25C8%25AD%25BF%25B9%25BC%25FA%25C8%25B8%25B0%25FC%25BF%25A1%25BC%25AD_%25C0%25CC%25BE%25D6%25C0%25DA%25B0%25AD%25BB%25E7_%25284%2529.jpg&type=sc960_832
담양문화회관|262|1974|1192|1271|1596|1402|1967|326|1333|661|1474|1322|2233|1989|19002|87|415|1372|688|1026|1686|1816|22|444|727|592|544|729|667|10815|3|전라남도 담양군 담양읍 지침6길 29|전라남도|https://www.culture.go.kr/upload/culSpace/place_201709817583585897.PNG
장성문화예술회관|0|41|27|4|7|23|112|0|7|0|0|41|104|63|429|0|5|3|2|14|41|44|0|0|0|0|6|33|8|156|0|전라남도 장성군 장성읍 문화로 110|전라남도|https://lh3.googleusercontent.com/proxy/OgUdexMpSH_A7BndLhLrHnU-tE0aivizWT0cShkjEtccrPmn3P_Z6rNSgoW0i0h2YDreXBNlKuWoxvjlUymFMPjoZ4EAq-ZXU2NZXAoztFvcACvdy0b-pOBCRuNG26eYCf3FZtJllS_LAkpOI5xh6YOboAYlWyBMyiONxhQp71DoWrDt7aDfkQLS3LeLV0WS3M9R4ot8WmKAm_KZ_7R8tiaY4LCKyb7884IW-fk6VRnJ6yy46pfF6SfuDuJI9UoLAJ6V3CjpTiVoFdzhPrcREJ4pubV6_hkDa6ac
목포시문화예술회관|0|33|361|125|413|430|597|5|45|71|104|351|601|287|3423|2|44|55|75|60|414|215|34|16|18|48|36|76|31|1124|0|전라남도 목포시 남농로 102|전라남도|https://d198w692pndujt.cloudfront.net/fileStorage/ThemusicalAdmin/Theater/Image/2018033011383825c8a8f583334942ba43a7da804831ef.jpg
무안승달문화예술회관|118|232|536|407|431|1040|1050|170|613|424|383|543|638|657|7242|10|72|244|295|207|124|249|11|119|475|71|155|119|147|2298|0|전라남도 무안군 무안읍 창포로 8|전라남도|https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200622_81%2F1592801013856GF2cf_JPEG%2F7D_xW84chN-3tzSgNH7SCCh-.jpeg.jpg&type=sc960_832
보성군문화예술회관|0|9|59|73|352|443|503|0|9|15|44|212|201|107|2027|4|2|257|94|158|194|358|0|91|70|41|45|81|47|1442|0|전라남도 보성군 보성읍 송재로 281-9|전라남도|https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20160112_249%2Fboseonglove_145257695277328Dtk_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AF_%25BA%25B8%25BC%25BA%25B1%25BA%25B9%25AE%25C8%25AD%25BF%25B9%25BC%25FA%25C8%25B8%25B0%25FC%25C3%25DF%25BE%25EF%25C0%25C7%25C3%25BB%25C3%25E1%25B1%25D8%25C0%25E5%25B9%25AE%25BF%25AC%25B4%25D9.JPG&type=sc960_832
순천문화예술회관|19|216|343|746|218|359|276|0|130|358|716|633|593|123|4730|0|64|40|62|2|2|28|0|148|206|134|51|4|14|755|0|전라남도 순천시 삼산로 16|전라남도|https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTAzMjNfMTky%2FMDAxNTUzMzQ5NTQzMzM2.fAs92wSUH11eNwZH9Y1CGlzL1eUaIoipB1ZrYxW99lgg.NqsvHskqoaF4K5pJfs5v1HvGKSSZBbxJXg3dFnJyIPUg.JPEG.narang402%2F20190323_190954.jpg&type=sc960_832
여수시민회관|22|71|232|143|284|536|776|0|49|167|308|333|521|1235|4677|0|0|89|48|58|69|329|0|0|10|0|4|46|160|813|0|전라남도 여수시 좌수영로 69 (광무동 42-19) |전라남도|https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA0MDZfMTE5%2FMDAxNTg2MTM5ODQ3NzY5.t7e7UdlFVy2QKb-8gTzCw0De1XXMAKGk1gAajOwpz_Ag.A9gA4hXQ5IbPn2qpf8kJgITMCCHKzd5DTJ82fqL7KEgg.JPEG.starlight1130%2F1586139847097.jpg&type=sc960_832
완도문화예술의전당|150|672|211|196|389|434|470|260|713|132|137|326|434|284|4808|3|147|218|2|96|61|0|0|47|26|0|10|47|0|657|0|전라남도 완도군 완도읍 개포로159번길 55|전라남도|https://www.wando.go.kr/contents/3163/co_01.jpg?width=955&height=1&quality=50
장흥문화예술회관|28|335|711|487|860|1330|1899|204|471|274|397|1017|1210|1629|10852|9|88|631|389|287|593|685|108|275|410|552|420|840|602|5889|0|전라남도 장흥군 장흥읍 읍성로 96|전라남도|https://t1.daumcdn.net/cfile/blog/2225783F528D933927
진도향토문화회관|0|294|362|241|805|632|556|28|392|412|313|267|447|560|5309|0|123|172|161|198|236|214|13|31|137|150|78|72|15|1600|0|전라남도 진도군 진도읍 진도대로 7197|전라남도|https://www.jindo.go.kr/uploads/board/2017/11/201711280341015240.jpg
해남문화예술회관|231|1208|981|1238|1797|1695|1276|211|1079|479|580|1938|1521|536|14770|20|153|516|242|420|670|279|125|706|239|176|331|193|197|4267|0|전라남도 해남군 해남읍 군청길 4|전라남도|https://www.nbn-news.co.kr/news/photo/201812/38819_31553_07.jpg
밀양 누루(樓樓) 미술관|84|29|78|151|85|258|410|30|27|53|86|44|274|219|1828|30|44|173|156|153|128|166|35|45|197|70|73|89|257|1616|39|경남 밀양시 하남읍 명례로 451 구. 명례초등학교|경상남도|https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDA5MjhfMTc4%2FMDAxNjAxMjg1Njk2NjQy.QwSVnQhuVwMiqQBzN2VhBARXoiQPWPuBH7ri6VyuXBwg.bY5Ktrl-7ICTIL70E3PAulJPiy56MB5xXN4YnqIWA7cg.JPEG.miryangsi%2F%25B4%25A9%25B7%25E7-04406.jpg&type=sc960_832
우리미술관|28|35|116|159|141|136|184|28|154|63|35|151|100|294|1624|37|33|22|65|60|78|75|43|32|19|76|19|33|54|646|30|인천광역시 동구 화도진로 192번길 3-11|인천|https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA4MDdfMTc5%2FMDAxNTMzNjE0MzQwODg0.9sKRrXTnVPwbFV96dMZ8q3dC1EqjFR7YcpLCYMVKtZwg.ShQTs-EO7Tf5lMuybT6mNpIoWMRNRJ28t3PaqOInuS8g.JPEG.solafide_gaeul%2FIMG_8262.JPG&type=sc960_832
소금나루 작은미술관|36|37|429|287|88|667|242|39|28|132|96|104|168|63|2416|35|75|260|263|351|335|93|49|65|90|162|94|61|165|2098|48|울산 북구 중리11길 2|울산|https://post-phinf.pstatic.net/MjAxOTExMTFfMjY3/MDAxNTczNDM1NzQxMzAx.ofIovdVdRBh_QsPHzezJvCrva299L91veUiKdYmuieog.g8F9Gre_MD1Al65WistvlcI3Z4Hwdt9z-LzT3WMVU7wg.JPEG/02_%EB%B6%81%EA%B5%AC%EC%98%88%EC%88%A0%EC%B0%BD%EC%9E%91%EC%86%8C_%EA%B1%B4%EB%AC%BC%EC%99%B8%EA%B4%80_%28c%29%EB%B0%95%ED%98%9C%EC%9D%80.jpg?type=w800_q75
