no,rgs_de,area_lc,ty,genre_cl,ticket_se,dscnt_rt,pblprfr_nm,adhrnc_nm,prfplc_pd,prfplc_nm,viewng_grad_dc
7752,2019-02-21,인천,공연,콘서트,할인티켓,50%,[인천]장사익 소리판<자화상七>,인천광역시문화예술회관,2019-03-09~2019-03-09,인천문화예술회관 대공연장,8세 이상 관람가
7753,2019-02-22,서울,공연,아동극,무료티켓,100%,[서울]Animal Adventure 알록달록 동물원(객석나눔),극단 해보마,2019-03-07~2019-03-10,아르코예술극장 대극장,5세 이상 관람가
7754,2019-02-22,서울,공연,전통,무료티켓,100%,[서울]The K-art 우시산의 사계(객석나눔),내드름연희단,2019-02-27~2019-02-28,아르코예술극장 대극장,5세 이상 관람가
7755,2019-02-22,서울,공연,연극,무료티켓,100%,[서울]2018 창작산실 연극<하거도>(객석나눔),코르코르디움,2019-03-08~2019-03-17,대학로예술극장 대극장,만 16세 이상 관람가
7756,2019-02-22,서울,공연,아동극,할인티켓,70%,[서울]Animal Adventure 알록달록 동물원,극단 해보마,2019-03-07~2019-03-10,아르코예술극장 대극장,5세 이상 관람가
7757,2019-02-22,서울,공연,전통,할인티켓,75%,[서울]The K-art 우시산의 사계,내드름연희단,2019-02-27~2019-02-28,아르코예술극장 대극장,5세 이상 관람가
7758,2019-02-25,인천,공연,아동극,무료티켓,100%,[인천]2019 어린이율동놀이뮤지컬<호비쇼> - 인천(객석나눔),(주)화랑엔터테인먼트,2019-03-23~2019-03-24,인천문화예술회관 소공연장,전체관람가
7759,2019-02-25,인천,공연,아동극,할인티켓,50%,[인천]2019 어린이율동놀이뮤지컬<호비쇼> - 인천,(주)화랑엔터테인먼트,2019-03-23~2019-03-24,인천문화예술회관 소공연장,전체관람가
7760,2019-02-26,서울,공연,클래식,무료티켓,100%,[서울]서명현 귀국 피아노 독주회(객석나눔),예인예술기획,2019-03-26~2019-03-26,금호아트홀,8세 이상 관람가
7761,2019-02-26,서울,공연,클래식,무료티켓,100%,[서울]피아노 듀오 유앤킴 리사이틀(객석나눔),가온클래식,2019-03-19~2019-03-19,예술의전당 IBK챔버홀,8세 이상 관람가
7762,2019-02-26,서울,공연,클래식,할인티켓,50%,[서울]피아노 듀오 유앤킴 리사이틀,가온클래식,2019-03-19~2019-03-19,예술의전당 IBK챔버홀,8세 이상 관람가
7763,2019-02-27,서울,공연,뮤지컬,무료티켓,100%,"[서울]윤동주, 달을 쏘다.(객석나눔)",(재)서울예술단,2019-03-05~2019-03-06,예술의전당 CJ 토월극장,8세 이상 관람가
7764,2019-02-27,서울,공연,연극,무료티켓,100%,[서울]자기 앞의 생(객석나눔),(재)국립극단,2019-03-04~2019-03-18,명동예술극장,8세 이상 관람가
7765,2019-02-27,경기,공연,연극,무료티켓,100%,[경기]연극<갈팡질팡하다가 내 이럴 줄 알았지> - 과천(객석나눔),과천도시공사,2019-03-16~2019-03-16,과천시민회관 소극장,14세 이상 관람가 중학생 이상 관람가
7766,2019-02-28,서울,공연,클래식,무료티켓,100%,[서울]서울모테트합창단 창단 30주년 기념 마스터피스 시리즈 Ⅲ - 바흐 모테트 전곡 연주(객석나눔),재단법인 서울모테트음악재단,2019-03-26~2019-03-26,예술의전당 콘서트홀,8세 이상 관람가
7767,2019-02-28,서울,공연,국악,무료티켓,100%,[서울]2019 국립국악원 정악단 기획공연<정가 깊이 듣기>(객석나눔),국립국악원,2019-07-04~2019-07-05,국립국악원 우면당,8세 이상 관람가 미취학아동입장불가
7768,2019-02-28,서울,공연,국악,무료티켓,100%,[서울]국립국악원 토요명품공연(객석나눔),국립국악원,2019-03-09~2019-07-27,국립국악원 우면당,8세 이상 관람가 미취학아동입장불가
7769,2019-02-28,부산,공연,아동극,무료티켓,100%,[부산]더 뮤지컬 <런닝맨> - 마지막 승자(객석나눔),(주)화랑엔터테인먼트,2019-03-30~2019-03-31,부산시민회관 대극장,24개월 이상 관람가
