event_nm,tme_dc,event_bgn_de,event_end_de,auspc_instt_nm,opmt_place_nm,event_dc
2018 마포국악페스티벌 온고지신,1회,2018-07-10,2018-08-02,"마포문화재단, 한국문화예술위원회, 한국문화예술회관연합회",마포아트센터,"마포문화재단(대표이사 이창기)이 2018년 여름, 우리 음악의 뿌리 위에 새로움을 더하여 국악의 참 '맛'과 '멋'을 알리고자 <2018 마포국악페스티벌 ‘온고지신(溫故知新)’>을 개최했다. 7월 10일(화)부터 8월 2일(목)까지 약 3주간 마포아트센터 아트홀맥과 플레이맥에서 개최됐으며, 개막공연을 비롯한 9개의 공연들이 「국악동행」, 「국악공감」, 「국악 프론티어」 등의 묶음으로 짜임새 있게 펼쳐졌다."
제2회 대전어린이연극축제,2회,2018-07-11,2018-07-15,대전어린이연극축제위원회,"소극장 커튼콜, 작은극장 다함, 상상아트홀, 우금치 별벼라당, 계룡문고, 유성 진원도서관",‘제2회 대전어린이연극축제’가 11일 개막식을 시작으로 5일간 성대하게 개최됐다 극장마다 하루 2회 공연이 이뤄지며 특히 유성 진원작은도서관의 인형극은 무료로 진행됐다.
제7회 원주아동극페스티벌,7회,2018-07-13,2018-07-17,한국연극협회 원주지부 ,원주시청 백운아트홀,"`원주 아동극페스티벌'은 지역 내 어린이들의 정서지능을 향상시켜 건강한 성장을 돕기 위해 기획됐다. 13~14일 극단 님비곰비의 `파랑새 특공대'를 시작으로 극단 화이트캣&누리의 `토끼의 용궁여행(15일)', 극단 즐거운사람들이 준비한 뮤지컬 `책키북키(16~17일)' 등 총 3편이 관객과 만났다."
2018 영호남연극제 IN 진주,,2018-07-30,2018-08-05,사단법인 한국연극협회,"현장아트홀, 한국남동발전 공연장","해당 슬로건은 ‘문화는 즐거움이다, 도시가 공연장이다’이다. 공식초청작은 4작품, 작은극장초청작은 6작품으로 구성된 가운데 온 가족이 함께 볼 수 있는 가족극 위주로 마련됐다."
2018 통영연극예술축제,10회,2018-07-13,2018-07-22,"통영시, 통영연극예술축제위원회",남망산공원 일원,"제10회 통영연극예술축제는 연극축제의 미래 지향점에 대해 더욱 고민하고 연구하며, 축제의 정체성 확립을 위해 10년을 되돌아보는 ‘관객과의 연극여행- 기억’을 주제로 13일부터 22일까지 통영시민문화회관, 벅수골 소극장, 남망산공원, 섬마을 등에서 연극의 향연을 펼친다. 통영연극예술축제는 통영콘텐츠창작스테이지, TTAF스테이지, 가족극스테이지, 꿈사랑나눔스테이지, 생활 속의 스테이지, 섬마을스테이지 등으로 구성해 국내외 공연단체 25개 팀이 70여 회의 공연과 전시를 10일 동안 진행했다."
2018 대구 플루트 뮤직 페어,3회,2018-07-14,2018-07-15,대구 플루트 뮤직 페어 조직위원회,대구콘서트하우스,"올해로 세 번째로 열리는 대구 플루트 뮤직 페어는 전국에서 활동중인 플루트 전문연주단체들과 아마추어 연주단체, 해외연주자를 초청, 다양한 연주회를 가지며 '비르투오조 연주회' '듀오콘서트' '협주곡의 향연' '신인음악회' '마스터 클래스' '플루트 체험행사' 등 행사가 진행됐다."
제 9회 서울 청소년 연극축제,9회,2018-07-14,2018-07-29,서울연극협회,"동양예술극장, 세실극장","고등부 단체부문인 '제22회 전국청소년연극제 서울지역 예선대회'는 제22회 전국청소년연극제 본선 티켓 2장을 놓고 서울지역 고등학교 연극동아리가 벌이는 예선대회이다. 올해는 16개 학교가 참여했다. 고등부 개인 부문인 '제9회 서울청소년연극축제 독백경연 대회'는 배우를 꿈꾸는 청소년을 위한 경연대회로, 100여 명의 참가자가 열띤 경쟁을 펼쳤으며 중등부 부문으로는 지난해에 이어 워크숍을 진행했다."
"2018 영남춤축제 ′춤,보고싶다′",,2018-07-14,2018-08-25,국립부산국악원,"국립부산국악원 연악당, 201강습실, 야외마당","축제는 '우리 춤의 과거와 현재, 미래를 담아내는 그릇'을 주제로 기획·초청공연을 비롯해 야외공연, 공모를 통해 선정된 공연, 기획자 오픈 무대, 세미나, 춤경연대회 등이 다채롭게 펼쳐졌다."
2018 군포 한여름 축제,,2018-07-15,2018-08-18,군포시,산본로데오거리 외,"군포여름축제는 시민 누구나 가족과 함께 편안하게 관람할 수 있도록 한여름 쿨 페스티벌, 한여름 야외음악회, 한여름 예술마당극, 한여름밤 영화산책 등 4가지 테마로 진행됐다."
제1회 신진작곡가 발굴을 위한 창작국악축제,1회,2018-07-19,2018-07-19,(사)중앙국악관현악단,국립국악원 우면당,2018년 7월 19일 국립국악원 우면당에서 제1회 신진작곡가 발굴을 위한 창작국악축제가 열렸다.
2018 품앗이공연예술축제,10회,2018-07-19,2018-07-22,"화성시문화재단, 민들레연극마을",화성 민들레연극마을,제10회 품앗이 공연예술축제가 7월 19일부터 22일까지 화성 민들레연극마을에서 펼쳐졌다. <품앗이공연예술축제>는 농촌에서만 느낄 수 있는 자연환경 속에서 공연도 보고 체험도 즐기는 순수 공연 예술축제이다.
제26회 아시테지 국제여름축제,26회,2018-07-20,2018-07-29,아시테지 한국본부,"대학로예술극장 대극장, 아르코예술극장 소극장, 아이들극장, 이음센터 외, 대학로 일대","이번 축제는 캐나다, 덴마크, 스페인,이탈리아 등 9개국의 13편 아동·청소년 공연을 선보였다."
뉴오페라페스티벌2018,,2018-07-20,2018-09-08,"뉴오페라페스티발, 광림아트센터",광림아트센터 장천홀,"국내 오페라의 대중화를 위해 '모두가 쉽게 즐기는 오페라' 를 내세우며 오페라의 문턱을 낮추는 견인차 역할을 한 국내 최정상의 성악가와 스태프가 뜨거운 열정으로 다시 뭉쳤다. 7월 20일 <피가로의 결혼>을 시작으로 8월 <한·중 라이징 & 오페라스타 콘서트>, <코지 판 투테>, 9월 <헨젤과 그레텔>, <마술피리> 등 오랜 시간 동안 관객에게 사랑을 받았던 작품을 재해석하며 다시 한 번 관객에게 '새로운 감동'을 선사했다."
2018 제8회 연천DMZ국제음악제,8회,2018-07-21,2018-07-29,"연천군, DMZ국제음악제 조직위원회","연천군문화체육센터, 연천수레울아트홀, 허브빌리지 올리브홀, 태풍전망대",클래식 음악을 통해 평화와 통일을 기원하는 '2018 제8회 연천DMZ국제음악제'가 21일 오후 7시 30분 오프닝콘서트 '위대한 유산'을 시작으로 그 막을 올렸다.
제15회 평창대관령음악제,15회,2018-07-23,2018-08-05,강원도,"평창 알펜시아 리조트 콘서트홀, 뮤직텐트","이번 축제 프로그램의 주제는 '멈추어, 묻다'. 손열음 예술감독의 첫 데뷔 음악제였다."
2018 Incheon Vitamin Art`s Festival,,2018-07-24,2018-07-29,인천비타민연극축제위원회,인천수봉문화회관소극장 및 찾아가는 공연,"2018 인천비타민연극축제'가 24일부터 29일까지 인천수봉문화회관 소극장에서 '연극, 주파수를 맞추고 볼륨을 높여라'는 주제로 극장공연과 함께 찾아가는 공연으로 시민들을 만났다."
제15회 서울국제무용콩쿠르 댄스페스티벌,15회,2018-07-27,2018-07-28,,마포아트센터 아트홀 맥,"7월 24일 민족무용 페스티벌, 7월 25일 컨템포러리 페스티벌, 7월 26일 발레 페스티벌, 7월 27-28일 월드갈라가 열렸다."
제14회 합천예술제,14회,2018-07-27,2018-07-30,(사)한국예총합천지회,일해공원 야외공연장,"개막식에는 성공기원 비나리 공연과 합창단의 축하노래, 불꽃놀이를 선보였으며 경남도민예술단 경남팝스오케스트라와 함께 인기가수 정수라의 무대가 더해졌다. 문학제에는 아티스트 이승환의 연주와 함께 문정희 시인 초청 특강과 지역명사들의 애송시 낭송회를 가졌다. 음악제에는 합천의 대표 음악 주자인 합천군합창단과 합천색소폰, 한음회, 음악여행, 경남빅밴드 등이 연주했으며 예술제 마지막날에는 우수예술단체 ‘예술단 樂’의 국악제 공연 ‘어울림’을 통해 관객들과 함께 직접 참여하고 소통하며 즐길 수 있는 화합과 나눔의 한마당이 되었다."
2018 한여름 밤의 예술축제,,2018-07-27,2018-08-02,제주시청,제주 탑동 해변공연장,개막식은 7월 27일(금) 19시 30분에 탑동 해변공연장에서 25주년 기념 축하 공연이 펼쳐졌으며 8월 2일(목)까지 생활문화 동호회 및 장르별 도내 예술인들의 공연이 진행되었다.
2018 블루거제 페스티벌,,2018-07-30,2018-08-03,"한국문화예술위원회, 거제시문화예술재단",거제문화예술회관 야외공연장,"낭만적인 여름밤을 퓨전국악, 포크송, 브라스밴드, 트로트, 팝페라, 마임, 타악기 연주, 아카펠라, 뮤지컬 퍼포먼스, 전자현악, K-POP 댄스, 디스코 밴드 등의 공연으로 다양하고 재미있는 레퍼토리로 꾸몄다. 5일 동안 축제 분위기 속에서 온 가족이 함께 즐길 수 있는 공연들이 연이어 열렸다.
"
2018 후용페스티벌,5회,2018-08-01,2018-08-04,후용공연예술센터,후용공연예술센터,"축제의 첫 날은 극단 노뜰의 연극 '<세 자매>-멈춰진 기억의 역사', 2일(목)에는 극단 노마드의 연극 <멈추고 생각하고 햄릿>이 공연했으며, 단체 파문의 연극 <슬픈 몰골의 기사>와 극단 향연의 연극 <호모 에코노미쿠스> 각각 2일과 3일에 공연되었다. 무용단체 '고블린파티'의 <옛날 옛적에> 3일(금) 8시에 공연되었으며, 축제의 마지막 날인 4일(토) 2시에는 그림자극 <박스의 꿈>이 공연되었다."
2018 제3회 대한민국장애인국제무용제,3회,2018-08-01,2018-08-05,빛소리친구들,아르코예술극장 대극장,"‘KIADA 2018’은 각 나라를 대표하는 장애인 무용수들이 함께하는 무용 축제로, 쉽게 접하기 힘든 고품격의 작품들을 한 자리에 모았다. 한국을 포함한 네덜란드, 스위스, 이탈리아, 영국 등 총 7개 국가에서 온 14개 초청작이 준비되었으며, 이들은 장애인이라는 틀에서 벗어나 환상적인 무대를 선보였다."
제15회 대구국제호러페스티벌,15회,2018-08-02,2018-08-05,(사)대구연극협회 ,"대구스타디움 서편 시민광장, 야외공연장, 대구시내소극장","제15회 대구국제호러페스티벌(이하 대구호러페스티벌)이 ‘잊어라, 즐겨라, 느껴라, 미쳐라’ 라는 슬로건으로 8월 2일부터 8월 5일 까지 대구스타디움 서편 시민광장과 야외공연장, 대구시내소극장에서 개최됐다."
2018 경주국제뮤직페스티벌,,2018-08-03,2018-08-05,경주시,보문수상공연장,"이번 행사는 5개국 13개팀이 참여했고 8월 3일(금)은 클래식 페스티벌로 막을 올리며 출연진은 경북도립교향악단,사바토 라파엘레(이탈리아 유명 트럼펫터),코넬리아뢰서(오스트리아 바이올린 콩쿨 우승),김소현(예그린뮤지컬어워드 여우주연상)이 출연했다."
제30회 거창국제연극제,30회,2018-08-03,2018-08-12,"KBS창원방송총국, (사)거창연극제육성진흥회",수승대일원극장,"거창국제연극제는 5개단체, 대학 5개 단체 등 총 10단체에서 참여했다. 거창국제연극제 초청작은 30주년을 기념하고 거창군과 협력해 개최키로 한 의미로 ‘비보이를 사랑하는 발레리나’, ‘카르멘’, ‘넌센스’, ‘최현우마술극’, ‘옹알스’, ‘불매’, ‘변사또 생일잔치’, ‘놀부가 떳다’ 등 여름야외공연에 걸맞는 수준작을 초청했다."
