event_nm,tme_dc,event_bgn_de,event_end_de,auspc_instt_nm,opmt_place_nm,event_dc
2017 SF연극제,2회,2017-01-17,2017-02-26,소극장 혜화당,소극장 혜화당,"대학로에서 쉽게 접해보기 어려운 SF 소재 연극들이 소극장혜화당의 SF연극페스티벌 ‘2017SF연극제’에서 공연됐다. 올해 두 번째를 맞이하는 연극제는 쉽게 접하기 어려웠고 주목받지 못했던 SF장르를 선보이며, 연극인들의 끊임없는 도전 정신을 보여주었다. 올해 연극제는 지난해 보다 2주 추가돼 더욱 탄탄한 ‘라인업’을 선보였다."
경기공연예술페스타2017,,2017-01-18,2017-01-21,"경기문화재단,구리아트홀",구리아트홀,경기지역 17개 문예회관과 공연장 상주단체가 참여한 이번공연은 파트너십을 통해 그동안 축적된 성과와 의미를 나누고 공연장과 상주단체간 교류의 장을 마련해 새로운 공연 유통과 보급을 위한 축제형 아트마켓의 표본이 되었다. '특별초청공연'과 상주단체 레퍼토리와 신작으로 구성된 '베스트 컬렉션'을 비롯하여 '공연 중매프로젝트'와 시민이 함께 즐길 수 있는 '시민참여프로그램'등 풍성하고 다채롭게 꾸며졌다.
2017 안양국제무용페스티벌,,2017-01-21,2017-01-21,"안양시, 중국DTM CHINA",안양아트센터 관악홀,"안양시와 중국 허난성 무용단체인 DTM 차이나가 공동주최한 이번 페스티벌은 20일 국제 무용 콩쿠르, 21일 시상식과 개막식, 콩쿠르 우수작 갈라 공연과 해외초청공연으로 꾸며졌다. 국제 무용 콩쿠르에서는 발레, 현대무용, 한국무용, 실용무용(K-POP, 비보이 등) 각 부문의 경연이 펼쳐졌다. 무용수에게는 한국과 중국 참가자 별로 대상(안양시장상)부터 동상까지 수여됐으며, 총 9명의 안무가에게는 국회의원상이 수여됐다."
제3회 인천프렌즈페스티발,3회,2017-01-25,2017-02-13,인천연극협회,문학시어터,
G-1년 올림픽 페스티벌,,2017-02-09,2017-02-19,,올림픽 개최지 일원,"지(G)-1년 기념 문화 대향연의 첫 문을 여는 문화예술행사는 ‘지(G)-365일 평창동계올림픽 성공 기원 음악회’로서, 서울 예술의전당에서 2월 7일(화) 개최됐다. 세계적인 첼리스트 정명화, 바이올리니스트 정경화, 한국 성악의 자존심 홍혜경, 한국을 대표하는 명창 안숙선 등 세계적 반열에 있는 우리 음악인들이 함께했다."
제6회 한울림골목연극제,6회,2017-02-11,2017-03-02,극단 한울림,한울림소극장,"6개 작품이 무대에 오르는 이번 연극제에는 지역 연극인뿐만 아니라 부산, 광주 극단도 참가해 번역극, 창작극 등 다양한 장르의 작품을 무대에 올렸다."
2017 평창겨울음악제,,2017-02-15,2017-02-19," 문화체육관광부, 강원도",알펜시아 콘서트홀&용평드래곤밸리호텔 그랜드볼룸 ,"동계올림픽 1년을 앞두고 두 번째로 열리는 이번 겨울음악제는 콘서트홀에서 클래식 4회, 재즈 6회 공연으로 마련된다. 강릉 올림픽파크 특설무대에서는 2018평창동계올림페스티벌과도 연계한 재즈 공연을 펼친다. 15일 오프닝공연에는 첼리스트 정명화와 명창 안숙선이 한 무대에 올라 판소리와 클래식이 어우러진 무대를 선보인다. 2017년 그래미상 후보에 오른 재즈피아니스트 존 비즐리의 솔로와, 다이나믹한 연주로 유튜브에서 폭발적 인기를 얻은 앤더슨 앤 로 피아노듀오의 공연까지 다채로운 무대가 마련된다. "
제1회 미밋동산 평화예술제,1회,2017-02-17,2017-03-01,"(사)제주문화예술공동체,민족문제연구소 제주지부","제주항일기념관,간드락소극장 등 제주도 일원","가향국악원의 전병규 대금연주자가 국악과 현대 음악의 조화를 주제로 공연을 선보였다. 검은모래로 그려보는 제주의 여성독립운동가 김시숙, 마임이스트 이경식 공연, 무용·소리·연주가 어우러진 나무꽃, 오카리나 연주, 장애인들과 기타 연주 합동 공연, 백록예술단의 해녀항쟁가 시낭송이 진행됐다."
2017 안동공연예술축제 APAF,,2017-02-24,2017-04-29,안동문화예술의전당,안동문화예술의전당,"안동문화예술의전당에서 지역문화예술 10개 단체가 2월 24일부터 4월 29일까지 2017 안동공연예술축제(APAF, Andong Performing Arts Festival)를 진행했다."
청춘아트페스타,,2017-03-01,2017-03-26,청춘아트페스타 운영위원회,떼아뜨로 중구,"대구의 젊은 연극인들이 주축이 된 축제 ‘제1회 대구 청춘아트페스타’가 소극장 떼아뜨로중구(대구 중구 종로2가)에서 펼쳐졌다. 연극, 마임 등의 분야에서 활동해온 지역 20~30대 연극인과 예술에 관심이 많은 일반인이 축제에 참여하였으며, 축제 기간 선보인 작품은 모두 창작극이다."
"2017일번출구연극제(1번출구연극제)-그래도,연극은계속된다",,2017-03-01,2017-05-07,극단 주다(주다컬쳐),JH아트홀,"'1번출구 연극제’의 주제는 '소통’이다. <올모스트 메인>은 작은 마을 올모스트 메인에서 일어나는 소시민적인 ‘따뜻한 삶과 소통’을 담았으며, 극단 아리랑의 <아무도 아무 말도 하지 않았다(작 배새암, 연출 최민혜)>로 불통의 시대에서의 ’소통’을, 극단 광대모둠의 <이상없다(작연출 최해주)>는 공연 전 일어나는 스태프들의 셋업 과정의 이야기를 통해 사람 사이의 ’사회적 관계와 소통’을 전했다. 극단 주다의 <지하실(작연출 박상현)>은 극한의 상황에서 벌어지는 인간의 심리를 통해 ’이 시대와의 개인의 소통‘을, 마지막 작품 극단 후암의 <흑백다방>과 <자이니치>는 시대의 피해자와 가해자가 주고받는 ’치유와 위안의 소통‘ 그려냈다."
2017서울돈화문국악당〈프리＆프리>,19회,2017-03-03,2017-05-27,(재)세종문화회관 서울돈화문국악당,"서울돈화문국악당
","2017 '프리&프리'는 지난 12월부터 올해 1월까지 진행된 5가지 관객유형별 공모를 통해 134개 팀 중 25개의 팀을 선정했다. 유·아동, 청소년, 주부·시니어, 외국인, 일반의 5가지 유형의 관객 대상에 맞는 시간대에 맞추어 52회 공연을 배치했다. "
제34회 대구연극제,34회,2017-03-11,2017-03-17,"(사)대구연극협회
",봉산문화회관 ,"대구 최대 연극축제, 제33회 대구연극제가 12일(화)부터 17일(일)까지 6일간 대구문화예술회관, 봉산문화회관, 대구시내 곳곳 소극장에서 열렸다. 대구의 민간 극단들이 경연 부문 6편, 비경연 부문 4편 등 모두 10편의 연극 공연을 시민들에게 선보였다."
제3회 무죽Festival,3회,2017-03-14,2017-06-04,극장 동국,극장 동국,"제3회 무죽(무대에서 죽을란다) 페스티벌’이 14일 서울 대학로 극장 동국에서 첫 무대를 선보였다. 이번 페스티벌에는 ‘자유와 정의’라는 큰 주제 아래에 극단들의 하고 싶은 이야기를 담았다. ‘신인류’ ‘소울메이트(soulmate)’ ‘파수꾼’ ‘성난 발명가들’ ‘디딤돌’ ‘프로젝트팀’ 등 총 6개의 극단이 참여했으며, 드라마 ‘응답하라 1988’에서 택이 아빠로 주목받은 영화배우이자 극단 신인류의 대표 최무성이 총 제작을 맡았다."
뉴오페라페스티벌,,2017-03-17,2017-12-16,"광림아트센터,NEW오페라페스티벌 조직위원회",광림아트센터 장천홀,"뉴 오페라 페스티벌이 2017년 3월부터 12월까지 광림 아트센터 장천 홀에서 열렸다. 국내 오페라의 대중화를 위해 광림 아트센터와 김앤리 오페라단, 김자경 오페라단, 한국 리릭 오페라단, 프로덕션 보체, 드루지야 오페라단이 함께했다."
2017 아양신인안무가페스티벌,,2017-03-27,2017-03-28,(재)대구동구문화재단 아양아트센터,아양아트센터 아양홀,"대구동구문화재단 아양아트센터와 한국무용협회 대구시지회가 공동으로 기획했다. 이번 페스티벌은 젊은 안무가들의 무대로 꾸며졌으며, 전문가들의 심사를 거쳐 선발된 권선화, 박혜진, 김민준, 엄선민, 권효원 안무가가 출연했다."
제35회 경상남도연극제,35회,2017-03-28,2017-04-09,(사)한국연극협회 경상남도지회,"밀양아리랑아트센터,밀양청소년수련관","이번 35회 경남연극제에서 도내 12개 지부 14개 극단 250여 연극인이 참가해 경연을 벌였다. 김해 이루마의 '거기 사람이 있었다', 진해 고도의 '오케이 컷!', 진주 현장의 '길 위에서', 창원예술극단의 '소풍', 창원 미소의 '황혼의 노래' 등 다른 때보다 많은 창작조연작이 있었다."
제3회 한·러국제음악페스티벌,3회,2017-03-31,2017-03-31,KCO&한러뮤직페스티벌,예술의전당 IBK챔버홀,바이올리니스트 한은주와 세르게이 크라프첸코가 KOC코리안챔버오케스트라와 협연하였다.
2017 통영국제음악제,17회,2017-03-31,2017-04-09,(재)통영국제음악재단 ,통영국제음악당,"이번 통영국제음악제에서는 오페라 '류퉁의 꿈', '첼로 협주곡' 등 윤이상의 주요 작품이 집중적으로 연주됐으며, 폐막 공연에서는 데니스 러셀 데이비스가 지휘한 서울시립교향악단이 관현악곡 '서주와 추상'과 '클라리넷 협주곡' 등을 연주했고, 클라리네티스트 세바스티안 만츠가 협연을 맡았다."
제35회부산연극제,35회,2017-03-31,2017-04-30,부산광역시,"부산문화회관, 부산시민회관","‘연극의 감동을, 시민의 가슴에’라는 콘셉트로 보다 많은 관객들과 함께 즐길 수 있는 무대를 꾸몄다."
2017 교향악축제,,2017-04-01,2017-04-23,"예술의전당, 중앙미디어네트워크",예술의전당 콘서트홀,국내 대표 교향악단 19개 단체와 함께 아시아 굴지의 교향악단인 홍콩필하모닉오케스트라가 참여했다. '2017 교향악축제'의 부제는 '변치 않는 4월의 축제'이다. 지난 28년간 이 축제를 통해 52개 교향악단이 총 469회의 음악회를 올렸다.
제14회 청주예술제,14회,2017-04-07,2017-04-11,(사)청주예총 ,"청주예술의전당 대공연장, 청주아트홀, 무심천롤러스케이트장 특설무대 ","(사)청주예총이 주최하고 청주예술추진위원회가 주관하는 '13회 청주예술제'가 청주예술의전당 및 무심천 롤러스케이트장 일원에서 개최됐다. 이번 청주예술제는 청주시민의 자긍심과 잠재력을 자극하고 창의력을 기반으로 한 순수예술을 지속 발전시킴으로써 자생력 있고 지속성 있는 청주의 대표예술제를 만들기 위해 기획됐다.
"
제35회 전남연극제,35회,2017-04-07,2017-04-13,"전라남도, (사)전남연극협회 ",영광예술의전당,전남 연극인들의 큰 잔치인 '제34회 전남연극제'가 19일부터 24일까지 영광예술의전당에서 열렸다. 연극을 소리쳐 불러보다 라는 슬로건 아래 열린 이번 연극제에는 전남 22개 시군 예선을 통해 뽑힌 6개 작품이 참여했다.
한국소리터퓨전국악페스티벌,,2017-04-08,2017-12-16,평택시,한국소리터 지영희 홀(평택호 관광단지 내), 4·6·8·9·10·12월 등 6회에 걸쳐 진행되었으며 택견·전통무용·국악관현악·비보이·성악·마임 등 전통과 현대가 함께 어우러지는 팀들의 다양한 볼거리를 선보였다.
제31회 한국무용제전,31회,2017-04-12,2017-05-25,한국춤협회,아르코예술극장 대극장,Global Dance Festival이라는 타이틀로 시야를 넓혀 보다 넓게 바라보려는 의지를 담았다.
제1회 PIEFest국제교류의날,1회,2017-04-14,2017-04-15,PIEF 평택시국제교류재단,팽성국제교류센터,
부산국제즉흥춤축제,10회,2017-04-14,2017-04-16,"주최: 부산즉흥춤운영위원회
/주관: 부산국제즉흥춤축제사무국, 국제공연예술프로젝트","사상인디스테이션 극장, 부산대 넉넉한 터, 부산춤공간 SHIN 극장 ","올해는 한불 수교 130주년을 기념해 프랑스에서 즉흥 무용가 5명과 음악가가 대거 참여해 시선을 모았다. 일본, 홍콩 음악가도 축제에 동참했고, 부산 타말파 연구회, 하야로비무용단, 현대무용단 자유, 백현경 아이온 예술공연 대표, 잉스문화예술교육연구소, 아르아이젠, 신은주 무용단, 김은주 정크무브먼트 무용단, 에어리무브먼트, 정신혜무용단, 강희정 예술공동체 마르 대표, 김난진 피지컬시어터 대표, 강미희 美野아트댄스컴퍼니 대표, 이태상댄스프로젝트, 손영일, 최준호, 김윤규 등 지역 춤꾼과 춤단체의 춤사위도 한자리에서 볼 수 있었다."
제6회 진주시민합창페스티벌,6회,2017-04-15,2017-04-15,진주음악협회,경상남도문화예술회관 대공연장,남녀노소·종교를 불문하고 진주시민들이 함께 모여 '하모니'를 이루었다.
서울국제즉흥춤축제,17회,2017-04-18,2017-04-23,주최: 국제공연예술프로젝트(IPAP) /주관: 서울국제즉흥춤축제사무국,아르코예술극장 소극장 외,"올해 축제에는 오스트리아, 프랑스, 일본, 독일 등에서 공모와 초청을 통해 선정된 국내외 아티스트 200명이 참가했다. 한불 상호 교류의 해 공식인증사업으로 선정된만큼 한국과 프랑스의 아티스트들이 협업하는 즉흥 프로젝트를 새롭게 선보였다. 60분 길이의 작품 'Voici'와 크로스오버 즉흥공연에는 총 20명의 한국프랑스 무용가와 연주가들이 참여하였고, 전문 아티스트 외에도 즉흥에 관심있는 학생과 일반인들의 발표무대도 마련되었다. 또한 전무가와 일반인들을 위한 16개의 즉흥 클래스가 개설되었다."
2017 제38회 서울연극제,38회,2017-04-26,2017-05-28,"주최: 서울연극협회,서울특별시
/주관: 서울연극제 집행위원회","남산예술센터, 대학로예술극장, 예그린씨어터, SH아트홀, 동양예술극장, 예술공간 오르다, 예술공간 서울, 마로니에 공원","올해 서울연극제는 예술감독을 선임해 연극제를 이끌었다. 공연작품으로는 공식선정작 8편, 2016 미래야 솟아라 9편, 자유참가작 6편, 프린지 '제10회 서울창작공간연극축제' 22편, 특별초청작 2편등모두 47개의 작품이 무대에 올랐다."
2017 세계무용의날,,2017-04-29,2017-04-29,"주최: 세계무용연맹한국본부, 
국제극예술협회
/주관: 세계무용의날 조직위원회",그랜드 하얏트 호텔 외,"국내 메시지 낭독, 국제 메시지 낭독, 특별식 시상과 자축행사 등으로 진행됐다."
2017 부산시립극단어린이연극체험페스티벌,,2017-05-01,2017-05-03,부산문화회관,"부산문화회관 소극장,소극장 앞 광장","소극장에서는 객원연출인 인형극단 예예 대표 이정희씨를 초청하여 행사기간 매일 오전 11시, 1시에 가족인형극 <꼬마 도깨비 깨비의 “옛날 옛날에”>란 작품으로 꼬마 도깨비 깨비가 도둑맞은 도깨비감투를 찾으러 떠나는 과정에서 어린이들에게 환상, 모험, 고난, 극복 등을 경험을 선사하였다. 가족인형극이 끝난 오후 2시부터는 끼리프로젝트의 어린이극단 뮤지컬 <생각의 숲>을 시작으로 2시 50분에는 어린이합창단의 <환상의 나라로>를 3시 50분에는 부산시립무용단의 춤추는 동화 <개굴개굴 청개구리>공연, 그리고 4시30분에는 시립국악관현악단의 <신명나는 국악동요>까지 다양하고 다채로운 공연들로 어린이관객들을 만났다.  "
2017 부산공연예술축제‘공감을즐겨라’,,2017-05-02,2017-05-21,"문화체육관광부,한국문화예술위원회,동래문화회관,사)극단 맥",동래문화회관,"이번 축제에는 해외 2개 공연팀과 국내 7개 팀이 참여했다. 해외작품으로 2016 프랑스 아비뇽 IN공연 작품으로 선정돼 작품성을 인정받은 """"목이 마르다""""가 올해 다시 초청돼 더 완숙한 모습의 최고의 공연을 선보였으며, 아비뇽 OFF페스티벌에서 관객들에게 호평을 받은 벨기에 Night shop극단의 'SILENCE' 등 다양한 해외명품 공연이 함께했다. △교육극단 이야기의 아동극 '어이쿠호랑이' △클래식라디오의 청소년 현악오케스트라의 '가족음악회' △w.무용단의 'I go, I go' △극단 맥의'비나리'와 '피의 결혼' △뮤지컬 '슈퍼대디 최고봉' 등이 대극장 무대에서 펼쳐졌다. 야외공연장에서는 한국무용단 비선과 동래학춤 수련반이 나서 '검무, 동래학춤'과 한국무용예술봉사단의 '춘화무, 부채춤, 한량춤' 등을 선보였다."
안산국제거리극축제,13회,2017-05-05,2017-05-07,"주최: 안산시, 안산문화재단
/주관: 안산문화재단",안산문화광장,"'지금, 우리는 광장에 있다' 라는 슬로건으로 진행되었다."
2017 수원연극축제,21회,2017-05-05,2017-05-07,"주최: 수원시
/주관: 수원문화재단","화성행궁광장, 수원SK아트리움, KBS수원아트홀 등 수원시 일원","유네스코 세계문화유산인 수원 화성을 배경으로 행궁광장, 수원SK아트리움, KBS수원아트홀 등 수원시 일원에서 해외초청작품, 국내초청작품, 생황연극축제, 대학연극페스티벌, 시민희곡낭독회 등이 진행됐다."
2017 부평키즈페스티벌,4회,2017-05-05,2017-05-13,부평구,"해누리극장,달누리극장,구름마당,갤러리꽃누리","'2017 부평키즈페스티벌'에서는 야외에서 소풍과 함께 공연을 즐기는 '초록누리 축제'와 음악극 '우리 엄마', 뮤지컬 '레이디버그', 기획전시인 '명랑운동회', 까지 어린이들을 위한 다양한 프로그램들이 돋보였다. 부키프 초록누리축제는 5월 5일 구름광장에서, 음악극 우리엄마는 5월 6일, 뮤지컬 레이디 버그는 5월 12, 13일 , 기획전시인 명랑운동회는 4월 27부터 5월 28일까지 진행되었다."
2017 수성아트피아창작음악축제,,2017-05-11,2017-05-25,"수성아트피아,대구음악협회",수성아트피아 무학홀,"대구음악협회가 추천한 5명의 작곡가 이승선(11일), 임주섭(16일), 고승익(18일), 홍세영(23일), 하종태(25일)가 각각 하루씩 본인의 창작곡들 중에 선별한 곡들을 수성아트피아 무학홀에서 선보였다."
2017 학산어린이공연페스티벌,,2017-05-11,2017-12-09,남구학산문화원,학산소극장,"5월부터 12월까지 매월 둘째 주 목, 금, 토요일 어린이를 대상으로 한 복합인형극이 진행됐다. 미래의 희망인 어린이에게 꿈을 심어주고 동심을 지켜주며, 예술을 접할 수 있는 기회를 제공했다. 공모를 통해 2차 전문심사까지 선발된 총 8개 어린이공연 단체가 무대에 올랐다. 입장료는 전석 10,000원이였으며, 단체 또는 남구 주민일 경우 50%를 할인 혜택이 제공됐다."
제24회 소백예술제 ,24회,2017-05-12,2017-05-21,"영주시,(사)한국예술문화단체총연합회 영주지회","시민회관,서천둔치 일원","올해로 24회째 맞이하였다. 5월 12일 오후 6시 30분 개막식 및 축하공연을 시작으로 제23회 애창곡의 밤(12일 오후 7시), 2017 영주무용페스티벌(12일 오후 8시), 동아리 단체 공연(13일 오후 4시), 2017행복콘서트(13일 오후 6시 30분), 연극공연 ‘광대’(16일 오후 7시 30분), 국악공연 ‘2017 풍류’(20일 오후 7기 30분), 마당놀이 덴동어미(13일 오후 8시) 등의 공연행사가 열렸다."
2017설문대할망페스티벌,11회,2017-05-12,2017-05-31,"제주특별자치도,제주돌문화공원소",돌문화공원,돌문화공원에서 개최된 이번 페스티벌의 주요 행사로는 △설문대할망 제(祭) 의식 및 부대행사 △설문대할망 굿 페스티벌 △“뿌리 깊은 여신” 화가 양광자展 △설문대할망 워크숍 △제주전통차 및 전통음식 체험행사 △스스로-되기 춤 공연 △설문대할망 신화지 답사 △제주의 詩노래 등이 있었다. 설문대할망을 주요 테마로 제주 창조 신화 및 제주 문화를 담은 20여 개의 다채로운 행사로 구성되어 남녀노소 모두가 함께 참여할 수 있는 축제의 장을 마련했다.
2017 경기실내악축제,,2017-05-13,2017-05-23,"경기도문화의전당,고양문화재단,연천수레울아트홀,구리아트홀,안산문화재단","예술의전당 IBK챔버홀,고양아람누리 아람음악당,연천수레울아트홀 대공연장,구리아트홀 코스모스대극장,경기도문화의전당 대극장,경기도문화의전당 소극장,안산문화에술의전당 달맞이극장","열흘동안 경기도 각지에서 열린 클래식 콘서트로, 서울 예술의전당을 시작으로 고양 아람누리, 연천 수레울 아트홀 등에서 공연됐다. 온 가족이 함께 즐길 수 있는 클래식 콘서트로서 많은 사랑을 받았다."
2017 고양예술인페스티벌,,2017-05-13,2017-07-02,고양문화재단,"새라새극장,아람음악당(하이든홀)",
2017 제12회 서울스프링실내악축제,12회,2017-05-16,2017-05-28,(사)서울스프링실내악축제 집행위원회,"세종체임버홀, 예술의전당 콘서트홀, 예술의전당 IBK챔버홀, 윤보선 고택","베르트 등의 시대를 초월하는 고전적 레퍼토리에서부터 강석희, 브라이트 솅, 카르크-엘레르트, 리핑 왕, 호소카와, 타케미츠 등의 이시대 아시아출신 작곡가들까지 다양한 프로그램을 각 공연에 적절히 섞어서 16개의 공연들은 어느 하나 치우침이 없도록 구성하였다. 이번 SSF에서는 클래식 음악회에서 보기 힘든 피아노 즉흥연주도 함께했다. 프랑스 출신의 작곡가이자 피아니스트인 카롤 베파는 5월 20일 가족음악회에서 찰리 채플린의 <이민자>를 상영하면서 즉흥연주를 하였으며, 5월 21일 3시 공연에서는 무르나우 감독의 무성영화 <일출>을 상영하면서 즉흥연주를 선보였다. 또한 첼리스트 오펠리 가이야르가 힙합 댄서 이브라힘 시소코와 함께 만들어내는 프로젝트인 “첼로, 힙합 댄서를 만나다”를 가족음악회에서 보여주었다."
국제현대무용제,36회,2017-05-17,2017-05-31,(사)한국현대무용협회,아르코예술극장,"아르코예술극장 대극장 등 대학로 일대에서 '모다페 2017 제36회 국제현대무용제'를 펼친다. 국내 최장수 현대무용축제로 '헬로, 마이, 라이프?!(Hello, My, Life?!)'를 주제로 내세웠다. 총 7개국 31개 예술단체 186명의 아티스트들이 관객을 맞는다. "
제14회 부산국제연극제,14회,2017-05-19,2017-05-28,부산광역시,"부산문화회관, 부산시민회관, 부산예술회관, 하늘바람 소극장, 용천지랄소극장, 나다 소극장, 광안리 BIPAF ZONE","안톤 체홉, 헨릭 입센과 같은 근대작가를 통해 투영하는 세계 각국의 현대 연극을 선보였다."
2017 JAZZINDAEGU,,2017-05-20,2017-05-21,(재)달서문화재단 웃는얼굴아트센터,웃는얼굴아트센터,"이번 페스티벌은 지역 및 해외 우수 아티스트를 초청해 지역민에게 수준 높은 재즈 및 월드뮤직을 선보이는 동시에 지역의 국제문화행사 개최 및 운영에 관한 자생력을 키우고자 기획됐다.
특히 탄탄한 연주력을 바탕으로 많은 인기를 얻고 있는 팀들이 참여해 재즈 음악을 기본으로 한 다양한 형태의 월드 뮤직으로 이뤄진 프로그램을 구성, 관객 개개인의 취향과 기대를 만족시켰다. (재)달서문화재단 웃는얼굴아트센터가 주최하고 야마하 코리아, 주한스페인대사관, 오디오 가이, 대구컨벤션관광뷰로 등이 후원했다. "
춘천마임축제,,2017-05-21,2017-05-28,"(사)춘천마임축제,KBS춘천방송총국,춘천MBC","춘천 중앙로,축제극장몸짓,애니메이션박물관,스무숲공원,춘천 수변공원","이번 축제는 체험과 놀이를 나눠 취향에 맞는 공연을 관람할 수 있도록 무대를 구분했다. 특히 평창동계올림픽 성공개최를 위한 주제공연으로 이어진 ‘예술불꽃 화랑’의 이동형 불 퍼포먼스와 ‘창작중심 단디’의 공중을 무대로 한 퍼포먼스가 관객들의 탄성을 자아냈다. 이어 진행된 불꽃과 화염머신의 파이어쇼, 레이지본의 락 공연, 라퍼커션의 타악 퍼포먼스까지 이루어지면서 관객들의 뜨거운 호응을 이끌었다. "
제44회 경주예총예술제,44회,2017-05-23,2017-05-28,한국예총 경주지회,경주예술의전당,"경주 예총예술제는 문학, 미술, 음악, 연극, 사진작가, 국악, 무용, 연예예술인 등 협회 회원들이 주축이 돼 크게 전시부문과 공연부문으로 나눠 진행됐다. 공연부문은 27일까지 매일 오후 7시30분부터 예술의전당 소공연장과 야외 공연장에서 진행됐다."
제2회 제주국제즉흥춤축제,2회,2017-05-25,2017-05-27,국제공연예술프로젝트(IPAP),제주돌문화공원 서귀포관광극장 외,"올해는 한국과 프랑스, 일본, 모로코 지역 예술가들과 제주에서 활동하는 무용가 등 20명이 참여해 제주돌문화공원에서 생태즉흥 공연을 선보였다. 또한, 실내와 야외가 유리를 통해 노출된 오백장군갤러리 소극장과 천장이 뚫린 돌로 장식된 서귀포관광극장 무대에서도 다양한 즉흥춤이 펼쳐졌다."
2017 제8회 성남국제기타페스티벌,8회 ,2017-05-27,2017-05-27,성남국제기타페스티벌SIGF,컨퍼런스홀(성남아트센터 사무동 1층),"클래식기타 제작가 김중훈, 배윤수(피어리나기타), 서영, 엄태흥, 이철우, 이성관, 엄홍식, 최문석이 참가했고 그 밖의 클래식기타 전문 스토어 업체인 파르티타 그리고 기타용품을 취급하는 와우기타와 기타밸런스가 참가하여 다양한 물품을 현장에서 구매할 수 있었다."
2017 세계전통춤문화축제,3회,2017-05-29,2017-06-01,신은주무용단,"부산춤공간 SHIN,수영민속예술관 놀이마당","올해는 한국 일본 대만의 전통 춤꾼들이 각자의 춤세계를 선보였다. 한국에서는 (사)국가무형문화재수영야류보존회, 수영농청놀이보존회, 신우리춤연구회, 학산춤보존회 등이 참여했으며, 이들은 '수영야류' '수영농청놀이' '사찰학춤' '연등바라춤'을 선보였다. 이어 일본의 (사)문화보존계승기구 유라비는 '가부키' 등 일본 민속 춤을 바탕으로 한 5가지 작품을, 대만의 YiTzy민속무용극단은 긴 부채, 등불, 리본, 꽃을 활용한 두 가지 민속 작품을 선보였다."
현대극페스티벌,8회,2017-05-30,2017-08-06,현대극페스티벌위원회,대학로 노을소극장 등,"올해의 주제 '감시와 응시' 라는 주제로 진행됐다. 감시는 권력이 예술을 탄압하는 현실, '응시'는 이를 가만히 보고만 있지는 않겠다는 연극인들의 의지를 말한다."
2017 연수프린지페스티벌,,2017-05-31,2017-09-27,연수문화원,"연일공원,성호공원",매달 마지막 수요일 ‘문화가 있는 날’ 오후 7시 30분에 열리는 2017 연수 프린지 페스티벌은 9월 27일(수) 연수구 성호공원(성호아파트 옆)에서 네 번째 공연 ‘어쿠스틱앙상블 재비’의 국악 공연을 끝으로 올해 예정되었던 4회 일정을 마무리했다.
부산국제무용제,13회,2017-06-02,2017-06-06,"주최: 부산광역시
/주관: 부산국제무용제조직위원회","해운대 해변특설무대, 부산문화회관 중극장","올해 주제는 '춤추는 부산, 흥겨운 세상'으로 국내는 물론 해외초청팀 등의 공연으로 진행되었다."
제2회 대한민국연극제,2회 ,2017-06-02,2017-06-20,"한국문화예술위원회, (사)한국연극협회, 충청북도, 청주시 ","청주예술의전당 대공연장, 청주예술의전당 소공연장   ",이번 연극제는 시민과 연극인이 하나되는 화합과 소통을 추구하며 서울 대구 등 전국 16개 시ㆍ도(세종시 제외)를 대표하는 48개 극단이 46개 작품을 모두 122회에 걸쳐 무대에 올린다. 2일 오후 7시 대구 달서구 두류공원 내 코오롱야외음악당에서 개막ㆍ축하공연이 열린다.
2017 부산국제음악제안식년기념연주회,,2017-06-05,2017-06-07,부산아트매니지먼트,부산문화회관 대극장,"부산을 대표하는 피아니스트 12인이 들려주는 모차르트, 눈물이 나도록 아름다운 27개의 모차르트 피아노 협주곡 중에서 가장 널리 사랑받는 12곡을 사흘에 걸쳐 릴레이로 연주하였다."
2017 무담(舞談)-춤이야기,,2017-06-06,2017-06-08,"주최,주관: 보훈무용예술협회",구립극장별오름,"무담(舞談)공연은 2017 수상자의 밤(제12회 한.중국제무용경연대회 본선), 제8회 국제신인작가전, 무색(舞色)-춤의 빛깔 등 다채로운 행사로 기획되었으며 무용에 관련 된 전 장르가 공연되었다. 제8회 국제신인작가전은 1차 서류 심사를 거쳐 통과된 11명 안무자가 본인의 작품들을 선보였다."
제2회예술인형축제,2회,2017-06-06,2017-06-11,사) 한국인형극협회,"아이들극장 로비,아이들극장,선돌극장","<+인형 > 이라는 주제로 여러 장르, 소재, 시도가 인형(오브제)과의 결합으로 더욱 풍부하고 독특해진 사례를 소개하고, 형식의 파괴와 다양한 시도로 인형을 활용한 실험적인 작품을 발굴을 도모했다.  2017년 제 2회 축제에서는 인형(오브제)이 가지는 의미를 확장하여 다양한 장르와 화합하고 예술로 승화되는 콜라보의 장을 마련했다."
창작스튜디오자전거날다동인페스티벌,,2017-06-06,2017-07-02,소극장 혜화당,소극장 혜화당,"동인제 극단 ‘창작스튜디오 자전거날다’의 첫 번째 페스티벌이 6월 한 달 간 대학로에서 펼쳐졌다. 6월 6일 개막을 시작으로, 형식과 장르에 구애 받지 않은 다채로운 4편의 작품들이 함께했다."
노원국제코믹댄스페스티벌,3회,2017-06-07,2017-06-09,"주최: 노원문화예술회관
/주관: 국제공연예술프로젝트ipap","노원문화예술회관 대공연장, 소공연장",국내외 유명 댄스컴퍼니를 초청하여 무용속의 유머를 발견하고 대중들에게 다가가고자 하는 유쾌한 국제 무용축제이다.
